"FACT FCODE","TRIMX FCODE","Class","Label","Attributes","Color","LineWidth","LinePattern","Visible"
"AF11150000","AF11150000","DesignatedArea","Fish Hatchery",,,,,TRUE
"AG09850000","AG09850000","DesignatedArea","Electrical Substation Complex",,,,,TRUE
"AJ00650000","AJ00650000","DesignatedArea","Ammunition Dump",,,,,TRUE
"AJ01650000","AJ01650000","DesignatedArea","Military Establishment",,,,,TRUE
"AL03900000","AL03900000","DesignatedArea","Campground/Campsite",,,,,TRUE
"AL09000000","AL09000000","DesignatedArea","Drivein Theatre",,,,,TRUE
"AL09000009","AL09000009","DesignatedArea","Oil or Gas Work Camp",,,,,TRUE
"AL10250000","AL10250000","DesignatedArea","Exhibition Grounds",,,,,TRUE
"AL12350000","AL12350000","DesignatedArea","Golf Course",,,,,TRUE
"AL20150000","AL20150000","DesignatedArea","Park/Picnic Area",,,,,TRUE
"AL21900000","AL21900000","DesignatedArea","Sports Field",,,,,TRUE
"AL22650000","AL22650000","DesignatedArea","Race Track",,,,,TRUE
"AL22650110","AL22650110","DesignatedArea","Sport Track",,,,,TRUE
"AL23300120","AL23300120","DesignatedArea","Driving Range",,,,,TRUE
"AL23300140","AL23300140","DesignatedArea","Rifle Range",,,,,TRUE
"AL33900000","AL33900000","DesignatedArea","Zoo",,,,,TRUE
"AM04560000","AM04560000","DesignatedArea","Cemetery",,,,,TRUE
"AN31950000","AN31950000","DesignatedArea","Trailer Park",,,,,TRUE
"AP09200000","AP09200000","DesignatedArea","Dump",,,,,TRUE
"AP26750000","AP26750000","DesignatedArea","Sewage Treatment Area",,,,,TRUE
"AS90000000","AS90000000","DesignatedArea","Designated Area",,,,,TRUE
"EA26700110","EA26700110","DesignatedArea","Settling Pond",,,,,TRUE
"EA32550120","EA32550120","DesignatedArea","Petroleum Valve",,,,,TRUE
"GE00100001","GE00100001","DesignatedArea","Riparian Zone",,,,,TRUE
"CG09100000","CG09100000","Dock","Drydock",,,,,TRUE
"CQ08850130","CQ08850130","Dock","Ferry Dock",,,,,TRUE
"CQ08850160","CQ08850160","Dock","Marina Dock",,,,,TRUE
"CQ21250000","CQ21250000","Dock","Pier/Wharf",,,,,TRUE
"CQ90000120","CQ90000120","Dock","Pier/Wharf (symbolized)",,,,,TRUE
"GE09400000","GE09400000","Dyke","Dyke",,,,,TRUE
"DD08350000","DD08350000","Earthwork","Cut Earthwork",,,,,TRUE
"DD09950000","DD09950000","Earthwork","Fill Embankment",,,,,TRUE
"HB10200000","HB10200000","Esker","Esker",,,,,TRUE
"AG17600000","AG17600000","ExtractionSite","Open Pit Mine",,,,,TRUE
